"filename", "language", "XML", "Markdown", "C#", "Python", "JSON", "ShaderLab", "HLSL", "comment", "blank", "total"
"d:\3. SAP\Moonweaver\Assets\Wwise\Timeline\Runtime\AkEventTrack.cs", "C#", 0, 0, -29, 0, 0, 0, 0, -10, -4, -43
"d:\3. SAP\Moonweaver\Assets\Wwise\Timeline\Runtime\AkRTPCPlayable.cs", "C#", 0, 0, -61, 0, 0, 0, 0, -9, -16, -86
"d:\3. SAP\Moonweaver\Assets\Wwise\Timeline\Runtime\AkRTPCTrack.cs", "C#", 0, 0, -44, 0, 0, 0, 0, -3, -5, -52
"d:\3. SAP\Moonweaver\Assets\Wwise\Timeline\Runtime\AkTimelineEventPlayable.cs", "C#", 0, 0, -508, 0, 0, 0, 0, -38, -120, -666
"d:\3. SAP\Moonweaver\Assets\Wwise\Timeline\Runtime\AkTimelineEventTrack.cs", "C#", 0, 0, -25, 0, 0, 0, 0, -10, -5, -40
"d:\3. SAP\Moonweaver\Assets\Wwise\Timeline\Runtime\AkTimelineRtpcPlayable.cs", "C#", 0, 0, -90, 0, 0, 0, 0, -5, -22, -117
"d:\3. SAP\Moonweaver\Assets\Wwise\Timeline\Runtime\AkTimelineRtpcTrack.cs", "C#", 0, 0, -31, 0, 0, 0, 0, -2, -5, -38
"d:\3. SAP\Moonweaver\Assets\Wwise\Timeline\package.json", "JSON", 0, 0, 0, 0, -25, 0, 0, 0, 0, -25
"d:\3. SAP\Moonweaver\Assets\Wwise\Tools\WwiseIDConverter.py", "Python", 0, 0, 0, -71, 0, 0, 0, -5, -22, -98
"d:\3. SAP\Moonweaver\Moonweaver_WwiseProject\GeneratedSoundBanks\Mac\PluginInfo.xml", "XML", -7, 0, 0, 0, 0, 0, 0, 0, -1, -8
"d:\3. SAP\Moonweaver\Moonweaver_WwiseProject\GeneratedSoundBanks\Mac\SoundbanksInfo.xml", "XML", -20, 0, 0, 0, 0, 0, 0, 0, -1, -21
"d:\3. SAP\Moonweaver\Moonweaver_WwiseProject\GeneratedSoundBanks\Windows\PluginInfo.xml", "XML", -7, 0, 0, 0, 0, 0, 0, 0, -1, -8
"d:\3. SAP\Moonweaver\Moonweaver_WwiseProject\GeneratedSoundBanks\Windows\SoundbanksInfo.xml", "XML", -20, 0, 0, 0, 0, 0, 0, 0, -1, -21
"d:\3. SAP\Moonweaver\README.md", "Markdown", 0, -6, 0, 0, 0, 0, 0, 0, -3, -9
"Total", "-", -72, -54, -34101, -71, -275, -2032, -323, -3308, -7331, -47567
